ballNumber,runrate,requiredRunRate
0.1.0,0.0,0.0
0.2.0,0.0,0.0
0.3.0,0.0,0.0
0.4.0,0.0,0.0
0.5.0,0.0,0.0
0.6.0,0.0,0.0
1.1.0,12.0,0.0
1.2.0,12.0,0.0
1.3.0,12.0,0.0
1.4.0,12.0,0.0
1.4.1,12.0,0.0
1.5.0,12.0,0.0
1.6.0,12.0,0.0
2.1.0,12.0,0.0
2.2.0,12.0,0.0
2.3.0,12.0,0.0
2.4.0,12.0,0.0
2.5.0,12.0,0.0
2.6.0,12.0,0.0
3.1.0,10.66,0.0
3.2.0,10.66,0.0
3.3.0,10.66,0.0
3.4.0,10.66,0.0
3.5.0,10.66,0.0
3.6.0,10.66,0.0
4.1.0,9.0,0.0
4.2.0,9.0,0.0
4.3.0,9.0,0.0
4.4.0,9.0,0.0
4.5.0,9.0,0.0
4.6.0,9.0,0.0
5.1.0,7.6,0.0
5.1.1,7.6,0.0
5.2.0,7.6,0.0
5.3.0,7.6,0.0
5.4.0,7.6,0.0
5.5.0,7.6,0.0
5.6.0,7.6,0.0
6.1.0,7.0,0.0
6.2.0,7.0,0.0
6.3.0,7.0,0.0
6.4.0,7.0,0.0
6.4.1,7.0,0.0
6.5.0,7.0,0.0
6.6.0,7.0,0.0
7.1.0,6.57,0.0
7.2.0,6.57,0.0
7.3.0,6.57,0.0
7.4.0,6.57,0.0
7.5.0,6.57,0.0
7.6.0,6.57,0.0
8.1.0,6.0,0.0
8.2.0,6.0,0.0
8.3.0,6.0,0.0
8.4.0,6.0,0.0
8.5.0,6.0,0.0
8.6.0,6.0,0.0
9.1.0,5.88,0.0
9.2.0,5.88,0.0
9.3.0,5.88,0.0
9.4.0,5.88,0.0
9.5.0,5.88,0.0
9.6.0,5.88,0.0
9.6.1,5.88,0.0
10.1.0,6.0,0.0
10.2.0,6.0,0.0
10.3.0,6.0,0.0
10.4.0,6.0,0.0
10.5.0,6.0,0.0
10.6.0,6.0,0.0
11.1.0,6.27,0.0
11.2.0,6.27,0.0
11.3.0,6.27,0.0
11.4.0,6.27,0.0
11.5.0,6.27,0.0
11.6.0,6.27,0.0
12.1.0,6.16,0.0
12.2.0,6.16,0.0
12.3.0,6.16,0.0
12.4.0,6.16,0.0
12.5.0,6.16,0.0
12.6.0,6.16,0.0
13.1.0,6.69,0.0
13.2.0,6.69,0.0
13.3.0,6.69,0.0
13.4.0,6.69,0.0
13.5.0,6.69,0.0
13.6.0,6.69,0.0
14.1.0,6.57,0.0
14.2.0,6.57,0.0
14.3.0,6.57,0.0
14.4.0,6.57,0.0
14.5.0,6.57,0.0
14.6.0,6.57,0.0
15.1.0,6.93,0.0
15.2.0,6.93,0.0
15.3.0,6.93,0.0
15.4.0,6.93,0.0
15.5.0,6.93,0.0
15.6.0,6.93,0.0
16.1.0,6.68,0.0
16.2.0,6.68,0.0
16.3.0,6.68,0.0
16.4.0,6.68,0.0
16.5.0,6.68,0.0
16.6.0,6.68,0.0
17.1.0,6.64,0.0
17.2.0,6.64,0.0
17.3.0,6.64,0.0
17.4.0,6.64,0.0
17.5.0,6.64,0.0
17.6.0,6.64,0.0
18.1.0,6.38,0.0
18.2.0,6.38,0.0
18.3.0,6.38,0.0
18.4.0,6.38,0.0
18.5.0,6.38,0.0
18.6.0,6.38,0.0
19.1.0,6.31,0.0
19.2.0,6.31,0.0
19.3.0,6.31,0.0
19.4.0,6.31,0.0
19.5.0,6.31,0.0
19.6.0,6.31,0.0
20.1.0,6.45,0.0
20.2.0,6.45,0.0
20.3.0,6.45,0.0
20.4.0,6.45,0.0
20.5.0,6.45,0.0
20.6.0,6.45,0.0
21.1.0,6.42,0.0
21.2.0,6.42,0.0
21.3.0,6.42,0.0
21.4.0,6.42,0.0
21.5.0,6.42,0.0
21.6.0,6.42,0.0
22.1.0,6.4,0.0
22.2.0,6.4,0.0
22.3.0,6.4,0.0
22.4.0,6.4,0.0
22.5.0,6.4,0.0
22.6.0,6.4,0.0
